source_id,laboratory_anchor,source_asset_id,source_row,source_column,source_coordinate,source_sample,canonical_accession,source_identifier,measurement_batch_id,biological_unit_id,cohort_label,timepoint,technical_replicate_id,author_numeric_value,author_value_state,rank_target_eligible
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_138_2_S1-H6_6698,LFQ intensity T_D1_138_2_S1-H6_6698:51,T_D1_138_2_S1-H6_6698,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_138,T_D1_138,TERM,D1,2,277.17,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_165_1_S1-A7_6653,LFQ intensity T_D1_165_1_S1-A7_6653:51,T_D1_165_1_S1-A7_6653,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_165,T_D1_165,TERM,D1,1,960.8,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_165_2_S1-B7_6654,LFQ intensity T_D1_165_2_S1-B7_6654:51,T_D1_165_2_S1-B7_6654,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_165,T_D1_165,TERM,D1,2,472.65,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_173_1_S1-E6_6683,LFQ intensity T_D1_173_1_S1-E6_6683:51,T_D1_173_1_S1-E6_6683,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_173,T_D1_173,TERM,D1,1,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_173_2_S1-F6_6684,LFQ intensity T_D1_173_2_S1-F6_6684:51,T_D1_173_2_S1-F6_6684,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_173,T_D1_173,TERM,D1,2,557.6,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_186_1_S1-C6_6667,LFQ intensity T_D1_186_1_S1-C6_6667:51,T_D1_186_1_S1-C6_6667,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_186,T_D1_186,TERM,D1,1,185.76,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D1_186_2_S1-D6_6668,LFQ intensity T_D1_186_2_S1-D6_6668:51,T_D1_186_2_S1-D6_6668,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D1_186,T_D1_186,TERM,D1,2,112.11,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_119a_1_S1-E7_6685,LFQ intensity T_D3_119a_1_S1-E7_6685:51,T_D3_119a_1_S1-E7_6685,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_119a,T_D3_119a,TERM,D3,1,565.79,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_119a_2_S1-F7_6686,LFQ intensity T_D3_119a_2_S1-F7_6686:51,T_D3_119a_2_S1-F7_6686,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_119a,T_D3_119a,TERM,D3,2,156.42,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_119b_1_S1-A8_6655,LFQ intensity T_D3_119b_1_S1-A8_6655:51,T_D3_119b_1_S1-A8_6655,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_119b,T_D3_119b,TERM,D3,1,273.06,POSITIVE,true
