target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T197_39767155dc388372a5c1,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,T_D1_186,T_D1_186,protein_groups,178,LFQ intensity T_D1_186_2_S1-D6_6668:178,P06396;CON__Q3SX14,2300000.0,0.76923076923076927,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3b73ffdcbe7c6d263e24,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_51,PT_D1_51,protein_groups,160,LFQ intensity PT_D1_51_1_S1-G2_6689:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,557030.0,0.75,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3be39e4027e6dd6c36b1,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_34,PT_D1_34,protein_groups,51,LFQ intensity PT_D1_34_2_S1-D2_6660:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,369.94,0.083333333333333329,13,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3c2186b15c99ab08d5a7,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,T_D3_119b,T_D3_119b,protein_groups,178,LFQ intensity T_D3_119b_1_S1-A8_6655:178,P06396;CON__Q3SX14,2387300.0,1,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3d3affaa6e85fbce93f0,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_51,PT_D1_51,protein_groups,385,LFQ intensity PT_D1_51_1_S1-G2_6689:385,Q9HDC9,40593.0,0.5,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3e4e57cbd7b74889e446,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D3_37,PT_D3_37,protein_groups,51,LFQ intensity PT_D3_37_1_S1-G5_6695:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,227.47,0.076923076923076927,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_3f7f98ae87419ab2ea64,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_23,PT_D1_23,protein_groups,149,LFQ intensity PT_D1_23_1_S1-G1_6687:149,P04004;CON__Q3ZBS7,1728400.0,0.8571428571428571,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_41b094f1936085669fc0,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,T_D3_119b,T_D3_119b,protein_groups,385,LFQ intensity T_D3_119b_2_S1-B8_6656:385,Q9HDC9,50293.0,0.53333333333333333,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_425df792da5e97297ffb,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D3_30,PT_D3_30,protein_groups,178,LFQ intensity PT_D3_30_1_S1-E3_6677:178,P06396;CON__Q3SX14,2688500.0,0.84615384615384615,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_42e5de679928b992d810,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_73,PT_D1_73,protein_groups,178,LFQ intensity PT_D1_73_2_S1-B3_6646:178,P06396;CON__Q3SX14,3272000.0,0.93333333333333335,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_44b327f5b401b255a8da,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,T_D3_198,T_D3_198,protein_groups,385,LFQ intensity T_D3_198_1_S1-C8_6671:385,Q9HDC9,23350.0,0.20833333333333334,25,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_455c0ab0f20a96f7df3c,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,T_D1_133,T_D1_133,protein_groups,202,LFQ intensity T_D1_133_2_S1-B6_6652:202,P07996;CON__Q28194;P35442,30548.0,0.46666666666666667,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_46a217e210d38238430d,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_34,PT_D1_34,protein_groups,385,LFQ intensity PT_D1_34_2_S1-D2_6660:385,Q9HDC9,43049.0,0.5,13,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_47172353ad735495ced7,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,T_D1_133,T_D1_133,protein_groups,160,LFQ intensity T_D1_133_2_S1-B6_6652:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,346130.0,0.73333333333333328,16,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
