measurement_batch_id,biological_unit_id,condition_labels,source_asset_ids,raw_row_count,analysis_candidate_row_count,rank_target_eligible_row_count,source_na_row_count,primary_rank_eligible,rank_retention_rate
R4_PMC11544298_data_3_PC0_NA_Rep_2,POOLED_HUMAN_PLASMA,PC0_NA,data_3,56,56,52,4,True,0.9285714285714286
R4_PMC11544298_data_3_PC0_NA_Rep_3,POOLED_HUMAN_PLASMA,PC0_NA,data_3,56,56,54,2,True,0.9642857142857143
R4_PMC11544298_data_3_Plasma_NA_Rep_1,POOLED_HUMAN_PLASMA,Plasma_NA,data_3,10,0,0,3,False,
R4_PMC11544298_data_3_Plasma_NA_Rep_2,POOLED_HUMAN_PLASMA,Plasma_NA,data_3,10,0,0,3,False,
R4_PMC11544298_data_3_Plasma_NA_Rep_3,POOLED_HUMAN_PLASMA,Plasma_NA,data_3,10,0,0,3,False,
R4_PMC11544298_data_3_PtdChos_10000_Rep_1,POOLED_HUMAN_PLASMA,PtdChos_10000,data_3,79,79,77,2,True,0.9746835443037974
R4_PMC11544298_data_3_PtdChos_10000_Rep_2,POOLED_HUMAN_PLASMA,PtdChos_10000,data_3,79,79,77,2,True,0.9746835443037974
R4_PMC11544298_data_3_PtdChos_10000_Rep_3,POOLED_HUMAN_PLASMA,PtdChos_10000,data_3,79,79,77,2,True,0.9746835443037974
R4_PMC11544298_data_3_PtdChos_1000_Rep_1,POOLED_HUMAN_PLASMA,PtdChos_1000,data_3,83,83,77,6,True,0.927710843373494
R4_PMC11544298_data_3_PtdChos_1000_Rep_2,POOLED_HUMAN_PLASMA,PtdChos_1000,data_3,83,83,76,7,True,0.9156626506024096
R4_PMC11544298_data_3_PtdChos_1000_Rep_3,POOLED_HUMAN_PLASMA,PtdChos_1000,data_3,83,83,77,6,True,0.927710843373494
R4_PMC11544298_data_3_PtdChos_100_Rep_1,POOLED_HUMAN_PLASMA,PtdChos_100,data_3,75,75,72,3,True,0.96
R4_PMC11544298_data_3_PtdChos_100_Rep_2,POOLED_HUMAN_PLASMA,PtdChos_100,data_3,75,75,72,3,True,0.96
R4_PMC11544298_data_3_PtdChos_100_Rep_3,POOLED_HUMAN_PLASMA,PtdChos_100,data_3,75,75,72,3,True,0.96
R4_PMC11544298_data_3_PtdChos_500_Rep_1,POOLED_HUMAN_PLASMA,PtdChos_500,data_3,76,76,74,2,True,0.9736842105263158
R4_PMC11544298_data_3_PtdChos_500_Rep_2,POOLED_HUMAN_PLASMA,PtdChos_500,data_3,76,76,74,2,True,0.9736842105263158
R4_PMC11544298_data_3_PtdChos_500_Rep_3,POOLED_HUMAN_PLASMA,PtdChos_500,data_3,76,76,74,2,True,0.9736842105263158
R4_PMC11544298_data_5_PS_100_A_PtdChos_donor1,DONOR_1,PS_100_A_PtdChos,data_5,75,75,71,4,True,0.9466666666666667
R4_PMC11544298_data_5_PS_100_A_PtdChos_donor2,DONOR_2,PS_100_A_PtdChos,data_5,75,75,68,7,True,0.9066666666666666
R4_PMC11544298_data_5_PS_100_A_PtdChos_donor3,DONOR_3,PS_100_A_PtdChos,data_5,75,75,71,4,True,0.9466666666666667
R4_PMC11544298_data_5_PS_100_A_PtdChos_donor4,DONOR_4,PS_100_A_PtdChos,data_5,75,75,38,37,True,0.5066666666666667
R4_PMC11544298_data_5_PS_100nm_C_PtdChos_donor1,DONOR_1,PS_100nm_C_PtdChos,data_5,75,75,57,18,True,0.76
R4_PMC11544298_data_5_PS_100nm_C_PtdChos_donor2,DONOR_2,PS_100nm_C_PtdChos,data_5,75,75,59,16,True,0.7866666666666666
R4_PMC11544298_data_5_PS_100nm_C_PtdChos_donor3,DONOR_3,PS_100nm_C_PtdChos,data_5,75,75,66,9,True,0.88
R4_PMC11544298_data_5_PS_100nm_C_PtdChos_donor4,DONOR_4,PS_100nm_C_PtdChos,data_5,75,75,48,27,True,0.64
R4_PMC11544298_data_5_PS_100nm_PtdChos_donor1,DONOR_1,PS_100nm_PtdChos,data_5,75,75,72,3,True,0.96
R4_PMC11544298_data_5_PS_100nm_PtdChos_donor2,DONOR_2,PS_100nm_PtdChos,data_5,75,75,66,9,True,0.88
R4_PMC11544298_data_5_PS_100nm_PtdChos_donor3,DONOR_3,PS_100nm_PtdChos,data_5,75,75,75,0,True,1.0
R4_PMC11544298_data_5_PS_100nm_PtdChos_donor4,DONOR_4,PS_100nm_PtdChos,data_5,75,75,49,26,True,0.6533333333333333
R4_PMC11544298_data_5_PS_200nm_PtdChos_donor1,DONOR_1,PS_200nm_PtdChos,data_5,75,75,74,1,True,0.9866666666666667
R4_PMC11544298_data_5_PS_200nm_PtdChos_donor2,DONOR_2,PS_200nm_PtdChos,data_5,75,75,72,3,True,0.96
R4_PMC11544298_data_5_PS_200nm_PtdChos_donor3,DONOR_3,PS_200nm_PtdChos,data_5,75,75,69,6,True,0.92
R4_PMC11544298_data_5_PS_200nm_PtdChos_donor4,DONOR_4,PS_200nm_PtdChos,data_5,75,75,50,25,True,0.6666666666666666
R4_PMC11544298_data_5_PS_50nm_PtdChos_donor1,DONOR_1,PS_50nm_PtdChos,data_5,75,75,73,2,True,0.9733333333333334
R4_PMC11544298_data_5_PS_50nm_PtdChos_donor2,DONOR_2,PS_50nm_PtdChos,data_5,75,75,66,9,True,0.88
R4_PMC11544298_data_5_PS_50nm_PtdChos_donor3,DONOR_3,PS_50nm_PtdChos,data_5,75,75,74,1,True,0.9866666666666667
R4_PMC11544298_data_5_PS_50nm_PtdChos_donor4,DONOR_4,PS_50nm_PtdChos,data_5,75,75,57,18,True,0.76
R4_PMC11544298_data_5_Si_100nm_PtdChos_donor1,DONOR_1,Si_100nm_PtdChos,data_5,75,75,56,19,True,0.7466666666666667
R4_PMC11544298_data_5_Si_100nm_PtdChos_donor2,DONOR_2,Si_100nm_PtdChos,data_5,75,75,44,31,True,0.5866666666666667
R4_PMC11544298_data_5_Si_100nm_PtdChos_donor3,DONOR_3,Si_100nm_PtdChos,data_5,75,75,71,4,True,0.9466666666666667
R4_PMC11544298_data_5_Si_100nm_PtdChos_donor4,DONOR_4,Si_100nm_PtdChos,data_5,75,75,35,40,True,0.4666666666666667
R4_PMC11544298_data_5_Si_50nm_PtdChos_donor1,DONOR_1,Si_50nm_PtdChos,data_5,75,75,59,16,True,0.7866666666666666
R4_PMC11544298_data_5_Si_50nm_PtdChos_donor2,DONOR_2,Si_50nm_PtdChos,data_5,75,75,39,36,True,0.52
R4_PMC11544298_data_5_Si_50nm_PtdChos_donor3,DONOR_3,Si_50nm_PtdChos,data_5,75,75,66,9,True,0.88
R4_PMC11544298_data_5_Si_50nm_PtdChos_donor4,DONOR_4,Si_50nm_PtdChos,data_5,75,75,41,34,True,0.5466666666666666
