analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,source_condition_id,protein_source_identifier,quantification_column,author_reported_quantification
PMC7788026:Urea-PC:1477,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1477,Urea-PC!A1477:Q1477,PMC7788026:UREA_PC,Q9Y2L1,Top3_normalized_Urea,0.0048556504487279857
PMC7788026:Urea-PC:1478,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1478,Urea-PC!A1478:Q1478,PMC7788026:UREA_PC,Q13443,Top3_normalized_Urea,0.0048534218779875508
PMC7788026:Urea-PC:1479,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1479,Urea-PC!A1479:Q1479,PMC7788026:UREA_PC,Q9UQB8,Top3_normalized_Urea,0.0048011517642573467
PMC7788026:Urea-PC:1480,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1480,Urea-PC!A1480:Q1480,PMC7788026:UREA_PC,O95684,Top3_normalized_Urea,0.0047983154014967925
PMC7788026:Urea-PC:1481,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1481,Urea-PC!A1481:Q1481,PMC7788026:UREA_PC,Q9BZE9,Top3_normalized_Urea,0.0047304452925835423
PMC7788026:Urea-PC:1482,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1482,Urea-PC!A1482:Q1482,PMC7788026:UREA_PC,Q12840,Top3_normalized_Urea,0.004717308881055377
PMC7788026:Urea-PC:1483,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1483,Urea-PC!A1483:Q1483,PMC7788026:UREA_PC,Q9UNF0,Top3_normalized_Urea,0.0046536609007085507
PMC7788026:Urea-PC:1484,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1484,Urea-PC!A1484:Q1484,PMC7788026:UREA_PC,Q15762,Top3_normalized_Urea,0.0046192193529018275
PMC7788026:Urea-PC:1485,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1485,Urea-PC!A1485:Q1485,PMC7788026:UREA_PC,Q9UGP8,Top3_normalized_Urea,0.0046131414327006404
PMC7788026:Urea-PC:1486,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1486,Urea-PC!A1486:Q1486,PMC7788026:UREA_PC,P49406,Top3_normalized_Urea,0.0045888297518958936
PMC7788026:Urea-PC:1487,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1487,Urea-PC!A1487:Q1487,PMC7788026:UREA_PC,P28340,Top3_normalized_Urea,0.004586398583815419
PMC7788026:Urea-PC:1488,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1488,Urea-PC!A1488:Q1488,PMC7788026:UREA_PC,Q6IN85,Top3_normalized_Urea,0.0045637076817309887
PMC7788026:Urea-PC:1489,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1489,Urea-PC!A1489:Q1489,PMC7788026:UREA_PC,P19404,Top3_normalized_Urea,0.004550741451968458
PMC7788026:Urea-PC:1490,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1490,Urea-PC!A1490:Q1490,PMC7788026:UREA_PC,Q13362,Top3_normalized_Urea,0.0045374227028342571
PMC7788026:Urea-PC:1491,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1491,Urea-PC!A1491:Q1491,PMC7788026:UREA_PC,Q2NL82,Top3_normalized_Urea,0.0045191362669222872
PMC7788026:Urea-PC:1492,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1492,Urea-PC!A1492:Q1492,PMC7788026:UREA_PC,Q9BVI4,Top3_normalized_Urea,0.0045073856211999934
PMC7788026:Urea-PC:1493,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1493,Urea-PC!A1493:Q1493,PMC7788026:UREA_PC,Q9Y6E7,Top3_normalized_Urea,0.0044389077202666239
PMC7788026:Urea-PC:1494,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1494,Urea-PC!A1494:Q1494,PMC7788026:UREA_PC,P04066,Top3_normalized_Urea,0.0044192557782827876
PMC7788026:Urea-PC:1495,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1495,Urea-PC!A1495:Q1495,PMC7788026:UREA_PC,P28072,Top3_normalized_Urea,0.0044113544820212442
PMC7788026:Urea-PC:1496,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1496,Urea-PC!A1496:Q1496,PMC7788026:UREA_PC,Q6NUK1,Top3_normalized_Urea,0.0042946584141584617
PMC7788026:Urea-PC:1497,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1497,Urea-PC!A1497:Q1497,PMC7788026:UREA_PC,Q8TDM0,Top3_normalized_Urea,0.0042885804939572754
PMC7788026:Urea-PC:1498,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1498,Urea-PC!A1498:Q1498,PMC7788026:UREA_PC,Q9UBF2,Top3_normalized_Urea,0.0042144298675027983
