Supplementary Data 2. The compiled data from 5 cores not providing semiquantitative results,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Normalized value,,,,
V9HW34_HUMAN,NA,NA,NA,44.13333333,NA,0.006711472,0.006461821,0.005382842,6.591165119,15
K1C16_HUMAN,NA,NA,NA,25.43333333,NA,0.005368925,0.004038754,0.003726732,11.50068847,15
MMRN1_HUMAN,NA,NA,NA,15.9,NA,0.007158987,0.005654357,0.004554745,13.03778176,15
A0A0S2Z3G9_HUMAN,NA,NA,NA,13.63333333,NA,0.004026841,0.003634896,0.004554745,6.544503641,15
A0A024R882_HUMAN,NA,NA,NA,46.63333333,NA,0.00492183,0.006461821,0.004969004,9.276504037,15
A0A087WVQ6_HUMAN (+1),NA,NA,NA,10.13666667,NA,0.004026841,0.005654357,0.003726732,13.39856715,15
B3KT06_HUMAN (+1),NA,NA,NA,39.9,NA,0.006263956,0.005654357,0.004554745,9.107962969,15
A1AT_HUMAN,NA,NA,NA,33.06666667,NA,0.003579409,0.004442739,0.003726732,6.808383632,15
Q6GMX6_HUMAN,NA,NA,NA,21.83333333,NA,0.004026841,0.003230995,0.003312641,7.174003822,15
H0Y300_HUMAN,NA,NA,NA,17.25,NA,0.002237115,0.003634896,0.00248446,15.46094379,15
TBA4A_HUMAN,NA,NA,NA,33.8,NA,0.005368925,0.004442739,0.004554745,6.094580443,15
Q53HT9_HUMAN,NA,NA,NA,25.86666667,NA,0.00492183,0.003634896,0.004969004,9.693805948,15
V9HWB8_HUMAN,NA,NA,NA,24.43333333,NA,0.003131978,0.003634896,0.005382842,16.84231347,15
Q8NCL6_HUMAN,NA,NA,NA,21.53333333,NA,0.005368925,0.003634896,0.00414078,11.75026107,15
A0A384MEF1_HUMAN,NA,NA,NA,20.33333333,NA,0.00581644,0.003230995,0.004969004,16.28737119,15
B4E1D8_HUMAN,NA,NA,NA,26.36666667,NA,0.004474314,0.003634896,0.003726732,6.737752231,15
TBA1C_HUMAN,NA,NA,NA,34.96666667,NA,0.004474314,0.005250204,0.00414078,7.110687525,15
A0A2P9DU05_HUMAN,NA,NA,NA,8.846666667,NA,0.003131978,0.004038754,0.00248446,14.00578869,15
A0A0S2Z428_HUMAN (+1),NA,NA,NA,11.51666667,NA,0.001789726,0.002827136,0.00248446,12.89205398,15
URP2_HUMAN,NA,NA,NA,17.9,NA,0.003131978,0.004442739,0.003312641,11.30134234,15
B7Z5Q2_HUMAN,NA,NA,NA,12.58333333,NA,0.002684547,0.004846471,0.003726732,16.63461506,15
A0A024R3X4_HUMAN (+1),NA,NA,NA,20.7,NA,0.004474314,0.003634896,0.003312641,9.09431154,15
C9J2C0_HUMAN,NA,NA,NA,31.46666667,NA,0.00492183,0.003230995,0.003312641,14.40435336,15
D9IWP9_HUMAN,NA,NA,NA,38.33333333,NA,0.003131978,0.004038754,0.004554745,10.63964057,15
HPTR_HUMAN,NA,NA,NA,18.76666667,NA,0.002684547,0.002423278,0.00248446,3.117437147,15
Q5EBM2_HUMAN,NA,NA,NA,9.7,NA,0.001342294,0.001211618,0.00248446,24.07117576,15
PECA1_HUMAN,NA,NA,NA,17.63333333,NA,0.004026841,0.003230995,0.00414078,7.531662307,15
Q8N355_HUMAN,NA,NA,NA,26.93333333,NA,0.003579409,0.003230995,0.00414078,7.260033508,15
A0A024RAJ8_HUMAN,NA,NA,NA,4.443333333,NA,0.002237115,0.002019377,0.002070411,3.117425598,15
CO6_HUMAN,NA,NA,NA,15.46666667,NA,0.003579409,0.004846471,0.00414078,8.750756547,15
Q5T985_HUMAN,NA,NA,NA,13.5,NA,0.003131978,0.004442739,0.00248446,17.1787234,15
Q9NPP6_HUMAN,NA,NA,NA,27.33333333,NA,0.003131978,0.003634896,0.003312641,4.377747934,15
A0A0S2Z3L2_HUMAN,NA,NA,NA,8.7,NA,0.002684547,0.002423278,0.00248446,3.117437147,15
ENOB_HUMAN,NA,NA,NA,19.66666667,NA,0.003579409,0.002423278,0.00248446,13.27639358,15
HEMO_HUMAN,NA,NA,NA,26.43333333,NA,0.004474314,0.003230995,0.002898551,13.56717468,15
H3BS21_HUMAN,NA,NA,NA,14.72,NA,0.000894863,0.002019377,0.00124223,23.99355209,15
K1C17_HUMAN,NA,NA,NA,12.83333333,NA,0.002684547,0.002423278,0.002070411,7.436715839,15
ITIH1_HUMAN,NA,NA,NA,14.8,NA,0.003579409,0.003634896,0.00248446,11.58622304,15
A8K2N0_HUMAN,NA,NA,NA,11.86666667,NA,0.002684547,0.002019377,0.00248446,8.222922149,15
DESP_HUMAN,NA,NA,NA,2.216666667,NA,0.001789726,0.001615519,0.002070411,7.259949782,15
ENOA_HUMAN,NA,NA,NA,22.46666667,NA,0.002684547,0.002827136,0.00248446,3.728744882,15
ITA6_HUMAN,NA,NA,NA,7.696666667,NA,0.002237115,0.002019377,0.00248446,5.979057992,15
THRB_HUMAN,NA,NA,NA,18.76666667,NA,0.004474314,0.002827136,0.002898551,15.81036368,15
B4DPP8_HUMAN (+1),NA,NA,NA,13.06666667,NA,0.002237115,0.002423278,0.001656321,10.96920484,15
IDHP_HUMAN (+1),NA,NA,NA,12.63333333,NA,0.001789726,0.002423278,0.00248446,9.947845218,15
A0A024R035_HUMAN (+1),NA,NA,NA,15.76666667,NA,0.002237115,0.002827136,0.00248446,6.798403224,15
A0A087X188_HUMAN,NA,NA,NA,17.7,NA,0.001342294,0.003230995,0.002898551,23.37274125,15
B0ZBE2_HUMAN,NA,NA,NA,21.99333333,NA,0.001342294,0.003634896,0.00414078,28.32834051,15
FLOT1_HUMAN,NA,NA,NA,19.5,NA,0.002684547,0.002827136,0.002898551,2.243918509,15
PLMN_HUMAN,NA,NA,NA,13.82666667,NA,0.001789726,0.003230995,0.003312641,17.80527531,15
PTPRC_HUMAN,NA,NA,NA,5.49,NA,0.001342294,0.002019377,0.003312641,25.97961603,15
CO5_HUMAN,NA,NA,NA,2.446666667,NA,0.001789726,0.001211618,0.000828139,21.89395015,15
HEP2_HUMAN,NA,NA,NA,15.6,NA,0.002684547,0.001615519,0.001656321,17.61508089,15
FCN3_HUMAN,NA,NA,NA,15.26666667,NA,0.002237115,0.001211618,0.00124223,21.54225142,15
A0A286YFJ8_HUMAN (+1),NA,NA,NA,13.53333333,NA,0.001342294,0.001615519,0.00124223,7.968264665,15
V9HW22_HUMAN,NA,NA,NA,10.24,NA,0.001342294,0.002019377,0.002070411,12.95982852,15
V9HW31_HUMAN,NA,NA,NA,16.96666667,NA,0.003131978,0.002827136,0.001656321,17.71816227,15
V9GYM3_HUMAN,NA,NA,NA,33.56666667,NA,0.003579409,0.003230995,0.002070411,15.40928721,15
A0A024R580_HUMAN (+2),NA,NA,NA,10.59333333,NA,0.002237115,0.002423278,0.002898551,7.815617791,15
A0A0A0MTH3_HUMAN (+1),NA,NA,NA,12,NA,0.001789726,0.002019377,0.001656321,5.819815808,15
B2R8I2_HUMAN,NA,NA,NA,14.23333333,NA,0.002684547,0.001615519,0.002898551,16.53851255,15
CO7_HUMAN,NA,NA,NA,11.91333333,NA,0.001342294,0.003230995,0.002898551,23.37274125,15
D0PNI1_HUMAN,NA,NA,NA,26.1,NA,0.002684547,0.002423278,0.002070411,7.436715839,15
G8JLA2_HUMAN,NA,NA,NA,35.5,NA,0.002684547,0.001211618,0.002070411,21.47707458,15
LTBP1_HUMAN,NA,NA,NA,4.92,NA,0.003131978,0.003230995,0.002070411,13.21390454,15
K1C27_HUMAN,NA,NA,NA,8.856666667,NA,0.001342294,0.002423278,0.001656321,17.76430837,15
APOA5_HUMAN (+1),NA,NA,NA,24.96666667,NA,0.001789726,0.002423278,0.002898551,13.54874063,15
ITB1_HUMAN,NA,NA,NA,7.52,NA,0.002237115,0.001615519,0.00248446,12.23655713,15
PON1_HUMAN,NA,NA,NA,29.4,NA,0.002237115,0.003230995,0.002898551,10.47374658,15
A0A2S0BDD1_HUMAN,NA,NA,NA,19.13333333,NA,0.002684547,0.002423278,0.002070411,7.436715839,15
ATPA_HUMAN,NA,NA,NA,18.16666667,NA,0.002684547,0.002423278,0.003312641,9.402669859,15
CALX_HUMAN,NA,NA,NA,7.496666667,NA,0.000894863,0.002019377,0.002070411,23.08848119,15
SAA1_HUMAN,NA,NA,NA,39.63333333,NA,0.002684547,0.002423278,0.002898551,5.149348742,15
B3KX51_HUMAN,NA,NA,NA,27.16666667,NA,0.002684547,0.002423278,0.002070411,7.436715839,15
B4E1Z4_HUMAN,NA,NA,NA,5.476666667,NA,0.002684547,0.002423278,0.001656321,13.68496546,15
B7Z8Q2_HUMAN (+1),NA,NA,NA,26.2,NA,0.002684547,0.002827136,0.002898551,2.243918509,15
CD5L_HUMAN,NA,NA,NA,19.86666667,NA,0.002237115,0.002827136,0.001656321,15.08750553,15
I6NLS4_HUMAN,NA,NA,NA,7.883333333,NA,0.002237115,0.002423278,0.001656321,10.96920484,15
TPM4_HUMAN,NA,NA,NA,24.6,NA,0.001789726,0.002423278,0.002898551,13.54874063,15
V9HWB4_HUMAN,NA,NA,NA,7.39,NA,0.000894863,0.001615519,0.001656321,17.80541682,15
A0A0S2Z4G4_HUMAN (+2),NA,NA,NA,12.63333333,NA,0.001342294,0.000807759,0.002898551,37.26505512,15
41_HUMAN,NA,NA,NA,11.5,NA,0.003131978,0.002019377,0.00248446,12.67512045,15
B3KMV5_HUMAN,NA,NA,NA,4.406666667,NA,0.001342294,0.001615519,0.001656321,6.409519843,15
EPB42_HUMAN,NA,NA,NA,9.08,NA,0.000894863,0.001211618,0.00248446,31.74232473,15
J3QRS3_HUMAN,NA,NA,NA,31.43333333,NA,0.001789726,0.002827136,0.00124223,23.79645538,15
MOES_HUMAN,NA,NA,NA,7.626666667,NA,0.000894863,0.001615519,0.002070411,22.41294018,15
TERA_HUMAN,NA,NA,NA,6.283333333,NA,0.001789726,0.001211618,0.000828139,21.89395015,15
V9HVX7_HUMAN,NA,NA,NA,15.63333333,NA,0.001789726,0.001615519,0.00124223,10.42461457,15
A0A096LPE2_HUMAN,NA,NA,NA,17.93333333,NA,0.001342294,0.002423278,0.001656321,17.76430837,15
KLKB1_HUMAN,NA,NA,NA,7.41,NA,0.001342294,0.002423278,0.000828139,30.69856491,15
A0A024R6P0_HUMAN (+1),NA,NA,NA,14.43333333,NA,0.001342294,0.001615519,0.002898551,24.57546063,15
A0A024RAB9_HUMAN (+2),NA,NA,NA,22.4,NA,0.002684547,0.001211618,0.001656321,23.56665653,15
A0A384MDV8_HUMAN (+1),NA,NA,NA,10.2,NA,0.002684547,0.002019377,0.00248446,8.222922149,15
AMBP_HUMAN,NA,NA,NA,17.33333333,NA,0.001342294,0.002019377,0.002070411,12.95982852,15
V9HVY3_HUMAN,NA,NA,NA,5.476666667,NA,0.001342294,0.001615519,0.000828139,18.28997361,15
A2KBC4_HUMAN,NA,NA,NA,25.93333333,NA,0.001789726,0.002019377,0.001656321,5.819815808,15
C9JF17_HUMAN,NA,NA,NA,8.98,NA,0.002237115,0.000403875,0.000414078,59.84021882,15
THAS_HUMAN,NA,NA,NA,10.50333333,NA,0.002237115,0.001615519,0.001656321,10.93189463,15
INF2_HUMAN,NA,NA,NA,4.826666667,NA,0.001789726,0.001615519,0.00124223,10.42461457,15
U5YKE3_HUMAN,NA,NA,NA,13.24,NA,0.001342294,0.001211618,0.001656321,9.40291737,15
A0A087WTK0_HUMAN (+2),NA,NA,NA,4.21,NA,0.000894863,0.001615519,0.001656321,17.80541682,15
PLEK_HUMAN,NA,NA,NA,20.26666667,NA,0.001789726,0.002019377,0.002070411,4.404577468,15
DSG1_HUMAN,NA,NA,NA,4.706666667,NA,0.000894863,0.000807759,0.001656321,24.07114885,15
E9KL44_HUMAN (+1),NA,NA,NA,5.066666667,NA,0.001789726,0.000403875,0.001656321,34.3954341,15
K2C71_HUMAN,NA,NA,NA,5.606666667,NA,0.000894863,0.000807759,0.002070411,32.37267346,15
Q1ZYL5_HUMAN,NA,NA,NA,8.723333333,NA,0.000447431,0.001211618,0.00124223,26.88273285,15
B3KVN0_HUMAN,NA,NA,NA,7.693333333,NA,0.001342294,0.001211618,0.001656321,9.40291737,15
EHD1_HUMAN,NA,NA,NA,6.866666667,NA,0.000894863,0.001211618,0.001656321,17.60756254,15
ENDD1_HUMAN,NA,NA,NA,12.33333333,NA,0.001789726,0.001615519,0.001656321,3.117870289,15
F8W914_HUMAN (+1),NA,NA,NA,20.96666667,NA,0.001789726,0.001615519,0.00124223,10.42461457,15
AT1A1_HUMAN,NA,NA,NA,5.703333333,NA,0.002237115,0.002019377,0.000828139,25.83688662,15
G3P_HUMAN,NA,NA,NA,18.8,NA,0.001789726,0.002019377,0.001656321,5.819815808,15
K7ER74_HUMAN,NA,NA,NA,19.66666667,NA,0.002237115,0.001615519,0.00124223,17.08573765,15
A0A087X1J7_HUMAN (+1),NA,NA,NA,13.35666667,NA,0.000447431,0.001615519,0.002070411,35.08215366,15
1A34_HUMAN,NA,NA,NA,13.50666667,NA,0.000894863,0.001615519,0.001656321,17.80541682,15
A0A024QZ62_HUMAN,NA,NA,NA,10.57333333,NA,0.001342294,0.001211618,0.001656321,9.40291737,15
A0A024RB87_HUMAN,NA,NA,NA,31.16666667,NA,0.001342294,0.001615519,0.001656321,6.409519843,15
A1AG2_HUMAN,NA,NA,NA,21.23333333,NA,0.000894863,0.001615519,0.002070411,22.41294018,15
PARVB_HUMAN,NA,NA,NA,13.66666667,NA,0.002237115,0.001211618,0.001656321,17.44760664,15
PHLD_HUMAN,NA,NA,NA,5.24,NA,0.000894863,0.001615519,0.001656321,17.80541682,15
Q53T76_HUMAN,NA,NA,NA,5.29,NA,0.000894863,0.001211618,0.001656321,17.60756254,15
A0A1K0GXZ1_HUMAN,NA,NA,NA,31.83333333,NA,0.001342294,0.002019377,0.001656321,11.69557728,15
B2R6V9_HUMAN,NA,NA,NA,6.92,NA,0.000894863,0.001615519,0.00124223,16.63483381,15
A0A0C4DGZ8_HUMAN (+3),NA,NA,NA,5.163333333,NA,0.001342294,0.000807759,0.001656321,19.52252794,15
V9HWG7_HUMAN,NA,NA,NA,13.26,NA,0.001789726,0.000807759,0.001656321,21.68709404,15
HBB_HUMAN,NA,NA,NA,21.96666667,NA,0.002237115,0.001211618,0.00124223,21.54225142,15
ITA2_HUMAN,NA,NA,NA,1.863333333,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
A0A024R1X8_HUMAN (+1),NA,NA,NA,4.83,NA,0.000894863,0.000403875,0.00124223,28.712635,15
D9IX64_HUMAN,NA,NA,NA,15.03333333,NA,0.002237115,0.001615519,0.001656321,10.93189463,15
E9PHK0_HUMAN,NA,NA,NA,29.36666667,NA,0.000894863,0.001615519,0.002070411,22.41294018,15
MLEC_HUMAN,NA,NA,NA,20.2,NA,0.001789726,0.002423278,0.001656321,12.0920433,15
PGRP2_HUMAN,NA,NA,NA,18.7,NA,0.002237115,0.001615519,0.002070411,9.408506771,15
D3DPU2_HUMAN,NA,NA,NA,11.08,NA,0.001342294,0.002019377,0.00124223,15.90522312,15
B7Z5W1_HUMAN,NA,NA,NA,12.9,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
TCPA_HUMAN,NA,NA,NA,5.336666667,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
ADT3_HUMAN,NA,NA,NA,12.65,NA,0.000894863,0.001211618,0.001656321,17.60756254,15
A0A024R1G8_HUMAN,NA,NA,NA,5.46,NA,0.001342294,0.000403875,0.000414078,43.2061272,15
EMIL1_HUMAN,NA,NA,NA,3.74,NA,0.000447431,0.001615519,0.00124223,31.26347819,15
J3KNB4_HUMAN,NA,NA,NA,5.786666667,NA,0,0.000403875,0.000828139,58.21863115,15
A0A1U9X8Y4_HUMAN (+2),NA,NA,NA,32.9,NA,0.002237115,0.001615519,0.001656321,10.93189463,15
IGJ_HUMAN,NA,NA,NA,41.7,NA,0.001789726,0.001211618,0.002070411,14.95456213,15
A6XGL1_HUMAN (+1),NA,NA,NA,27,NA,0.001342294,0.001615519,0.00124223,7.968264665,15
A0A0S2Z4J1_HUMAN (+1),NA,NA,NA,7.563333333,NA,0.001789726,0.001211618,0.000828139,21.89395015,15
CYFP1_HUMAN (+1),NA,NA,NA,2.66,NA,0.001342294,0.000807759,0.00124223,14.50915628,15
A8K0T9_HUMAN (+1),NA,NA,NA,19.93333333,NA,0.000894863,0.002019377,0.00124223,23.99355209,15
B4DM85_HUMAN,NA,NA,NA,3.27,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
Q5CAQ5_HUMAN (+1),NA,NA,NA,4.156666667,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
B2R815_HUMAN (+1),NA,NA,NA,7.263333333,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
SRC_HUMAN,NA,NA,NA,5.163333333,NA,0.001342294,0.000403875,0.00124223,29.86893883,15
RASA3_HUMAN,NA,NA,NA,3.636666667,NA,0.000894863,0.001615519,0.000414078,35.81405829,15
AFAM_HUMAN,NA,NA,NA,4.063333333,NA,0.000447431,0.000807759,0.00124223,27.60100777,15
Q75MT9_HUMAN,NA,NA,NA,14.13666667,NA,0.000447431,0.002019377,0.00124223,36.70421584,15
MASP2_HUMAN,NA,NA,NA,5.49,NA,0.001342294,0.001615519,0.000828139,18.28997361,15
PEDF_HUMAN,NA,NA,NA,3.826666667,NA,0.000894863,0.000403875,0.000414078,28.37236323,15
EHD3_HUMAN,NA,NA,NA,7.67,NA,0.000894863,0.001211618,0.001656321,17.60756254,15
V9HWF6_HUMAN,NA,NA,NA,15.92,NA,0.001342294,0.001615519,0.000828139,18.28997361,15
PROF1_HUMAN,NA,NA,NA,34.73333333,NA,0.001789726,0.001211618,0.001656321,11.25656445,15
A0A024QZN9_HUMAN (+2),NA,NA,NA,14.96666667,NA,0.000894863,0.000807759,0.001656321,24.07114885,15
B2RWM5_HUMAN,NA,NA,NA,13.3,NA,0.001342294,0.001211618,0.00124223,3.118355304,15
A8K6Q8_HUMAN,NA,NA,NA,4.033333333,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
HV551_HUMAN,NA,NA,NA,39.03333333,NA,0.001342294,0.002019377,0.00124223,15.90522312,15
PLEC_HUMAN,NA,NA,NA,0.484,NA,0.000894863,0.000403875,0.000828139,21.68716439,15
ZYX_HUMAN,NA,NA,NA,6.583333333,NA,0.001342294,0.001211618,0.000828139,13.68591769,15
A0A024R240_HUMAN,NA,NA,NA,13.01333333,NA,0.000894863,0.000807759,0.002070411,32.37267346,15
ARP2_HUMAN,NA,NA,NA,7.613333333,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
B7ZA94_HUMAN,NA,NA,NA,7.173333333,NA,0.001342294,0.000807759,0.00124223,14.50915628,15
A0A384NPU5_HUMAN,NA,NA,NA,5.823333333,NA,0,0.001211618,0.00124223,50.01167082,15
SAC1_HUMAN,NA,NA,NA,5.166666667,NA,0.000894863,0.001615519,0.000414078,35.81405829,15
RAB14_HUMAN,NA,NA,NA,14.75,NA,0.000447431,0.001615519,0.000828139,35.68988902,15
A0A024RAD5_HUMAN (+2),NA,NA,NA,3.506666667,NA,0,0.000807759,0.000828139,50.01163874,15
Q6NVC0_HUMAN,NA,NA,NA,6.613333333,NA,0.000447431,0.000403875,0.001656321,49.10000141,15
Q53EP4_HUMAN (+1),NA,NA,NA,6.7,NA,0.000894863,0.001615519,0.00124223,16.63483381,15
A0A0S2Z583_HUMAN,NA,NA,NA,12.89666667,NA,0.000894863,0.002019377,0.00124223,23.99355209,15
ARPC5_HUMAN,NA,NA,NA,28.26666667,NA,0.000894863,0.001211618,0.00124223,9.947637759,15
COL11_HUMAN,NA,NA,NA,15.1,NA,0.000894863,0.001615519,0.00124223,16.63483381,15
PGH1_HUMAN,NA,NA,NA,7.623333333,NA,0.000894863,0.001615519,0.000828139,22.65160091,15
Q5JQ44_HUMAN (+1),NA,NA,NA,15.1,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
RPN2_HUMAN,NA,NA,NA,5.546666667,NA,0.000894863,0.001211618,0.00124223,9.947637759,15
C1QA_HUMAN,NA,NA,NA,18.8,NA,0.000894863,0.001211618,0.000828139,12.09196405,15
PFKAP_HUMAN,NA,NA,NA,4.506666667,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
LOX12_HUMAN,NA,NA,NA,6.68,NA,0.002237115,0.000807759,0.000828139,36.64525163,15
A0A024R0P8_HUMAN,NA,NA,NA,8.816666667,NA,0.000894863,0.001211618,0.000828139,12.09196405,15
Q8N1C8_HUMAN,NA,NA,NA,4.016666667,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
TAGL2_HUMAN,NA,NA,NA,19.76666667,NA,0.000894863,0.001211618,0.00124223,9.947637759,15
A2AP_HUMAN,NA,NA,NA,5.433333333,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
A0A024R1T9_HUMAN,NA,NA,NA,1.693333333,NA,0.000894863,0,0.000828139,50.11234694,15
Q53G71_HUMAN (+1),NA,NA,NA,8.04,NA,0.000447431,0.000403875,0.00124223,39.04623349,15
TMOD3_HUMAN,NA,NA,NA,10.42666667,NA,0.000447431,0.001615519,0.000828139,35.68988902,15
RAB7A_HUMAN,NA,NA,NA,11.26,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
A0A024RAI1_HUMAN,NA,NA,NA,7.886666667,NA,0.000894863,0.000403875,0.000828139,21.68716439,15
ARF3_HUMAN,NA,NA,NA,18.94333333,NA,0.000447431,0.001211618,0.001656321,31.94350745,15
Q59EJ3_HUMAN,NA,NA,NA,4.14,NA,0.000447431,0.000807759,0.00124223,27.60100777,15
STIM1_HUMAN (+1),NA,NA,NA,2.726666667,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
A0A1C7CYX9_HUMAN,NA,NA,NA,5.27,NA,0.000894863,0.000403875,0.001656321,36.98902447,15
ATP5H_HUMAN,NA,NA,NA,9.3,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
LRBA_HUMAN,NA,NA,NA,0.873333333,NA,0.001342294,0,0.00124223,50.11229791,15
RB27B_HUMAN,NA,NA,NA,9.466666667,NA,0,0.000807759,0.00124223,53.26239728,15
A8K2W3_HUMAN (+1),NA,NA,NA,11.1,NA,0.001342294,0.001615519,0.00124223,7.968264665,15
A1BG_HUMAN,NA,NA,NA,10.9,NA,0.001342294,0.001211618,0.00124223,3.118355304,15
A0A0S2Z4L3_HUMAN (+2),NA,NA,NA,3.906666667,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
A0A140VK00_HUMAN,NA,NA,NA,11.40666667,NA,0.000894863,0.001211618,0.00124223,9.947637759,15
A0A024R4X0_HUMAN (+1),NA,NA,NA,16.83,NA,0.001342294,0.000403875,0.001656321,33.17233232,15
DEMA_HUMAN,NA,NA,NA,6.34,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
A0A024R0V4_HUMAN (+1),NA,NA,NA,7.546666667,NA,0.000447431,0.000403875,0.001656321,49.10000141,15
GTR3_HUMAN,NA,NA,NA,3.83,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
PPIP2_HUMAN,NA,NA,NA,4.796666667,NA,0.000447431,0.000807759,0,55.83967827,15
AOFB_HUMAN,NA,NA,NA,4.743333333,NA,0.000894863,0,0.00124223,51.94370932,15
B4DPW5_HUMAN,NA,NA,NA,2.816666667,NA,0,0.000403875,0.000828139,58.21863115,15
B3KX11_HUMAN (+1),NA,NA,NA,1.403333333,NA,0.000894863,0,0,100,15
VDAC1_HUMAN,NA,NA,NA,6.236666667,NA,0,0.000807759,0.000414078,57.25920886,15
PRDX6_HUMAN,NA,NA,NA,6.536666667,NA,0.001342294,0,0.000414078,67.78437987,15
FHR1_HUMAN,NA,NA,NA,6.363333333,NA,0.000447431,0.000807759,0.00124223,27.60100777,15
LBP_HUMAN (+1),NA,NA,NA,8.663333333,NA,0.000894863,0.001211618,0.00124223,9.947637759,15
A4D0V4_HUMAN (+1),NA,NA,NA,13.99666667,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
A0A0S2Z3Y1_HUMAN,NA,NA,NA,6.783333333,NA,0.001789726,0.000403875,0.000828139,40.70118124,15
B4DWA6_HUMAN,NA,NA,NA,4.876666667,NA,0.000447431,0.000403875,0.000828139,24.07040803,15
CO8A_HUMAN,NA,NA,NA,5.763333333,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
Q8NFH9_HUMAN,NA,NA,NA,6.796666667,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
HGFA_HUMAN,NA,NA,NA,3.356666667,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
K9JA46_HUMAN,NA,NA,NA,2.733333333,NA,0.000447431,0.000403875,0.000828139,24.07040803,15
Q53FV0_HUMAN,NA,NA,NA,8.813333333,NA,0.000447431,0.001211618,0.000828139,26.60860964,15
CXCL7_HUMAN (+1),NA,NA,NA,13.01,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
G8JLD5_HUMAN,NA,NA,NA,6.556666667,NA,0.000447431,0.001211618,0.001656321,31.94350745,15
GNAZ_HUMAN,NA,NA,NA,12.11333333,NA,0.000447431,0.001211618,0.001656321,31.94350745,15
SAMP_HUMAN,NA,NA,NA,7.32,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
V9HWJ0_HUMAN,NA,NA,NA,2.79,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
A0A140GX60_HUMAN (+2),NA,NA,NA,9.38,NA,0.000894863,0.000807759,0.000414078,20.96151638,15
GBB2_HUMAN,NA,NA,NA,7.073333333,NA,0,0.000807759,0.000828139,50.01163874,15
ADDB_HUMAN (+1),NA,NA,NA,4.316666667,NA,0.000894863,0.000403875,0.00124223,28.712635,15
EFTU_HUMAN,NA,NA,NA,4.72,NA,0,0.000807759,0.000828139,50.01163874,15
FETUB_HUMAN,NA,NA,NA,5.836666667,NA,0,0.000807759,0.000414078,57.25920886,15
B4DRF2_HUMAN,NA,NA,NA,5.01,NA,0.002237115,0,0.000828139,63.91132274,15
PRDX3_HUMAN,NA,NA,NA,3.256666667,NA,0,0,0.000828139,100,15
Q8TAY0_HUMAN,NA,NA,NA,2.036666667,NA,0,0.000807759,0.000828139,50.01163874,15
A0A024R056_HUMAN (+1),NA,NA,NA,11.74,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
A0A024R1K7_HUMAN,NA,NA,NA,9.336666667,NA,0.001342294,0.000403875,0.000828139,31.61766916,15
A0A024RC55_HUMAN (+1),NA,NA,NA,4.22,NA,0,0.000403875,0.000828139,58.21863115,15
V9HWI5_HUMAN,NA,NA,NA,18.46666667,NA,0.000894863,0.000807759,0.000414078,20.96151638,15
SC22B_HUMAN,NA,NA,NA,11.00333333,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
APMAP_HUMAN,NA,NA,NA,6.423333333,NA,0.000447431,0.000403875,0.00124223,39.04623349,15
VDAC3_HUMAN,NA,NA,NA,11.29666667,NA,0.000894863,0.000807759,0.000828139,3.118140356,15
JAM3_HUMAN,NA,NA,NA,8.076666667,NA,0.000447431,0.000807759,0.000414078,22.65120182,15
ANXA7_HUMAN (+4),NA,NA,NA,4.506666667,NA,0.000894863,0.000403875,0.000414078,28.37236323,15
A8K287_HUMAN,NA,NA,NA,18.16666667,NA,0.000894863,0.000807759,0.00124223,13.5195391,15
A0A068F7M9_HUMAN,NA,NA,NA,1.51,NA,0.000447431,0.000403875,0.000828139,24.07040803,15
V9HWN7_HUMAN,NA,NA,NA,13.84,NA,0.001342294,0.001211618,0.000414078,29.32178252,15
H3BRG4_HUMAN (+1),NA,NA,NA,5.986666667,NA,0.000447431,0.000807759,0.000828139,17.80505045,15
TPIS_HUMAN,NA,NA,NA,7.93,NA,0.000447431,0.001211618,0.000414078,37.69171076,15
