target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_1b189b9b934812959cfa,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,P60174,R4_PXD060795_F8,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,150,AE150,P60174,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,851369.757886173,POSITIVE,true,true,false,0.33333333333333331,16,PROHIBITED
T193_1b870b68fb55eb132857,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO94,,blood_proteomics_xlsx,sGO 0h v 6h,74,J74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.019304674160441928,POSITIVE_FINITE,true,true,true,0.9375,17,PROHIBITED
T193_1cf433059d8067ed2486,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,PT_D1_33,PT_D1_33,protein_groups,,51,LFQ intensity PT_D1_33_2_S1-B2_6644:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_33_2_S1-B2_6644,,2,,184.47,POSITIVE,true,true,true,0,17,PROHIBITED
T193_1dcfebcb579162563a72,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P07996,PT_D3_41,PT_D3_41,protein_groups,,202,LFQ intensity PT_D3_41_1_S1-G3_6691:202,P07996;CON__Q28194;P35442,PT_D3_41_1_S1-G3_6691,,1,,11991.0,POSITIVE,true,true,true,0,18,PROHIBITED
T193_1e88d554a594293a9fe2,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P07996,PT_D3_14,PT_D3_14,protein_groups,,202,LFQ intensity PT_D3_14_2_S1-D5_6666:202,P07996;CON__Q28194;P35442,PT_D3_14_2_S1-D5_6666,,2,,21223.0,POSITIVE,true,true,true,0.13333333333333333,16,PROHIBITED
T193_1f684e78b0615661fdbf,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D1_18,PT_D1_18,protein_groups,,149,LFQ intensity PT_D1_18_1_S1-C1_6657:149,P04004;CON__Q3ZBS7,PT_D1_18_1_S1-C1_6657,,1,,1559500.0,POSITIVE,true,true,true,0.83333333333333337,13,PROHIBITED
T193_205c54736d4014788422,PXD060795_DALIAN_PLA_MICRO_NANOPLASTIC_HUMAN_PLASMA_CORONA,"Dalian University of Technology, China",CC0,Q04695,R4_PXD060795_F9,POOLED_OR_UNSPECIFIED_HUMAN_PLASMA,search_result_workbook,Proteins,117,AF117,Q04695,,PLA,,PROTEOME_DISCOVERER_NORMALIZED_ABUNDANCE,3993390.73277863,POSITIVE,true,true,false,0.53333333333333333,16,PROHIBITED
T193_211eabb40a0b1de924ec,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9HDC9,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO106,,blood_proteomics_xlsx,usGO 0h vs 6h,644,K644,APMAP_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0013883065146936139,POSITIVE_FINITE,true,true,false,0.77777777777777779,19,PROHIBITED
T193_2192606dc03d94e6fc45,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO76,,blood_proteomics_xlsx,usGO 0h vs 6h,283,J283,B7Z2X4_HUMAN;GELS_HUMAN;B7Z4U6_HUMAN;B3KS49_HUMAN;Q5T0I0_HUMAN;A0A0U1RQL8_HUMAN;Q69YR8_HUMAN,,,,NORMALIZED_ABUNDANCE,0.002471978704552848,POSITIVE_FINITE,true,true,true,0.5,21,PROHIBITED
T193_21c7f51853ddc43a7f30,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04264,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO26,,blood_proteomics_xlsx,usGO 0h vs 6h,66,D66,K2C1_HUMAN;H6VRG3_HUMAN;H6VRF9_HUMAN;F8VP67_HUMAN;A0A1W2PQU7_HUMAN,,,,NORMALIZED_ABUNDANCE,0.055460547878499321,POSITIVE_FINITE,true,true,true,1,19,PROHIBITED
