threshold,model_id,biological_unit_id,measurement_batch_count,subject_mean_spearman,subject_mean_mae,subject_mean_rmse
25,SEQUENCE_RIDGE_FULL,014-0036,116,0.13148698407944792,0.263190088898724,0.30142955679548183
25,SEQUENCE_RIDGE_FULL,014-0037,58,0.04064039408866995,0.25988090141972586,0.30681967967300755
25,SEQUENCE_RIDGE_FULL,014-0038,116,0.23116292941719888,0.2510073141243103,0.2925156096051556
25,SEQUENCE_RIDGE_FULL,014-0041,61,0.17228865406006674,0.2542859978101528,0.2960053508554951
25,SEQUENCE_RIDGE_FULL,014-0049,62,0.13875518252603902,0.2620487737137296,0.29894974681379777
25,SEQUENCE_RIDGE_FULL,014-0052,85,0.09827760506292209,0.2640886356579967,0.3032081935764935
25,SEQUENCE_RIDGE_FULL,014-0065,59,0.05468680065454259,0.25816741141223126,0.30579262229676313
25,SEQUENCE_RIDGE_FULL,014-0066,120,0.12347382834382278,0.25830511983817056,0.30088512857090316
25,SEQUENCE_RIDGE_FULL,014-0068,94,0.16684728576209307,0.2558059330787583,0.2966986636309475
25,SEQUENCE_RIDGE_FULL,015-0005,125,0.20696662045341951,0.25639756808332903,0.29417895453310305
25,SEQUENCE_RIDGE_FULL,015-0007,93,0.10404177625927281,0.2619481002861806,0.3015829771246626
25,SEQUENCE_RIDGE_FULL,018-0004,152,-0.001171739665163729,0.26513828200250067,0.30974733814580174
25,SEQUENCE_RIDGE_FULL,020-0004,127,0.137462971334757,0.2545498592571386,0.2983180265130474
25,SEQUENCE_RIDGE_FULL,020-0006,122,0.112373928049638,0.25975514335552097,0.3005846057747118
25,SEQUENCE_RIDGE_FULL,020-0007,121,0.12172273622598331,0.2592708873914776,0.30068562139978106
25,SEQUENCE_RIDGE_FULL,020-0011,115,0.0775263481728999,0.26344798389168994,0.30524293110514417
25,SEQUENCE_RIDGE_FULL,020-0014,28,-0.07170224411603722,0.25988218876692615,0.31598950657529495
25,SEQUENCE_RIDGE_FULL,020-0015,149,0.0963594741972024,0.265507499695522,0.3030735708763853
25,SEQUENCE_RIDGE_FULL,020-0016,90,0.12931412357408562,0.25827014777554586,0.30019850510549323
25,SEQUENCE_RIDGE_FULL,020-0017,54,0.1262220538082607,0.25587734919606203,0.3007283964565103
25,SEQUENCE_RIDGE_FULL,020-0019,25,-0.07846153846153846,0.2588441540920913,0.31589268891059
25,SEQUENCE_RIDGE_FULL,020-0029,120,0.06824208034580671,0.2684629173544655,0.30529826656401393
25,SEQUENCE_RIDGE_FULL,020-0032,115,0.09736775938805972,0.2586112775074665,0.3022068134762677
25,SEQUENCE_RIDGE_FULL,020-0034,114,0.06669207900923696,0.26367597691924755,0.30486876141937147
25,SEQUENCE_RIDGE_FULL,020-0035,84,0.12727525759783823,0.2562214708288071,0.3003556415940241
25,SEQUENCE_RIDGE_FULL,020-0036,123,0.117541103872935,0.2619374339581181,0.3010566436004681
25,SEQUENCE_RIDGE_FULL,020-0037,56,0.02791882447054861,0.2670733436571596,0.3084734462485793
25,SEQUENCE_RIDGE_FULL,020-0038,83,-0.0033521712498353153,0.26821011649946114,0.31058876403233054
25,SEQUENCE_RIDGE_FULL,020-0039,60,0.018294136341967263,0.26874334391258276,0.3087608316341489
25,SEQUENCE_RIDGE_FULL,020-0042,120,0.09212624177515723,0.26410290363200023,0.30360244263734393
25,SEQUENCE_RIDGE_FULL,020-0044,119,0.20145267228137081,0.2550759548245686,0.2941412873469746
25,SEQUENCE_RIDGE_FULL,020-0055,119,0.08531221358668523,0.260608427817979,0.3026941999283826
25,SEQUENCE_RIDGE_FULL,020-0057,128,0.15351151457650508,0.2555437053158532,0.2969124277558054
25,SEQUENCE_RIDGE_FULL,020-0058,120,0.036017088894877945,0.2635987786789015,0.3072001625538988
25,SEQUENCE_RIDGE_FULL,020-0061,114,-0.016652285886156845,0.2692895480033821,0.3116008780003345
25,SEQUENCE_RIDGE_FULL,020-0069,62,0.1761022348063505,0.25669550097881233,0.29587992698724197
25,SEQUENCE_RIDGE_FULL,020-0071,121,0.1330644143338395,0.2587390261064594,0.2997381411072876
25,SEQUENCE_RIDGE_FULL,020-0072,123,0.12756273757795056,0.2586448295830853,0.2996398012715451
25,SEQUENCE_RIDGE_FULL,020-0073,25,0.14692307692307693,0.2613428149129069,0.30114455958639563
25,SEQUENCE_RIDGE_FULL,020-0075,126,0.13113452707405138,0.25566203638292967,0.2989782031965813
25,SEQUENCE_RIDGE_FULL,020-0076,124,0.12937670644150065,0.2599621237094613,0.2991873668624972
25,SEQUENCE_RIDGE_FULL,020-0085,127,0.13973569860748425,0.2589531736559754,0.29839497695120915
25,SEQUENCE_RIDGE_FULL,020-0086,129,0.1361512420217354,0.26036396749782875,0.2983265290875699
25,SEQUENCE_RIDGE_FULL,020-0087,86,0.187240650421963,0.2578673081061196,0.29665600628617567
25,SEQUENCE_RIDGE_FULL,020-0088,152,0.18034424950753553,0.25751238892935496,0.29610627648603083
25,SEQUENCE_RIDGE_FULL,020-0090,60,0.0987356983950421,0.2583212665943045,0.3021705823441656
25,SEQUENCE_RIDGE_FULL,020-0091,29,0.027586206896551724,0.2566217686788225,0.307321274338662
25,SEQUENCE_RIDGE_FULL,020-0092,91,0.09568672068672068,0.2603952539953563,0.30204736895643464
25,SEQUENCE_RIDGE_FULL,020-0096,127,0.13333735026015664,0.2603086293559374,0.2988789163657665
25,SEQUENCE_RIDGE_FULL,020-0097,120,0.19683660024316307,0.25579381334755324,0.2951776770248781
25,SEQUENCE_RIDGE_FULL,020-0099,91,0.15975489031580767,0.2576791522769928,0.2979504235247588
25,SEQUENCE_RIDGE_FULL,020-0100,59,0.031074209439059274,0.26349549660913135,0.30821542200975904
25,SEQUENCE_RIDGE_FULL,021-0002,27,-0.08913308913308914,0.26357452293069333,0.3159957245685177
25,SEQUENCE_RIDGE_FULL,022-0004,58,0.11186856648480675,0.26390513548651773,0.30251285638997083
25,SEQUENCE_RIDGE_FULL,022-0011,113,0.06734836377008234,0.2635604783431744,0.30504820801215926
25,SEQUENCE_RIDGE_FULL,022-0013,56,0.039457286009010155,0.2672057190136957,0.3095211489096277
25,SEQUENCE_RIDGE_FULL,022-0014,31,0.11129032258064517,0.26965831940084795,0.3024271635137735
25,SEQUENCE_RIDGE_FULL,022-0017,55,0.1320681234474338,0.25766749876930084,0.30086580746939884
25,SEQUENCE_RIDGE_FULL,023-0001,118,0.15089385995601234,0.26307800849959134,0.29981271923285585
25,SEQUENCE_RIDGE_FULL,024-0001,85,0.19648954678988048,0.25754231539415046,0.2961669605465472
25,SEQUENCE_RIDGE_FULL,029-0004,127,0.16649886215989076,0.2590600567853782,0.29653267603946387
25,SEQUENCE_RIDGE_FULL,029-0005,129,0.11151536785206548,0.26073045015920937,0.3002098385087299
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0010,127,0.1283321735762765,0.2650057741666975,0.30272682264053263
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0018,127,0.043912783790834575,0.26850878873326284,0.3089204996187757
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0025,123,0.16766454546729198,0.25679839730717635,0.29972183702576466
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0031,88,0.08142682051191506,0.2647634120385785,0.3060506916735581
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0033,125,0.08232739235344255,0.26707068735541706,0.30650078570466743
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0035,120,0.13041443732243968,0.26232933721878815,0.3027645013182165
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0040,125,0.07444753919533904,0.2623592935552914,0.30732383709158334
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0041,123,0.09825712732762232,0.26121772165222995,0.3050533677984281
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0044,117,0.06017093464199727,0.26484653511344697,0.30904033224413385
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0048,119,0.0883714890041364,0.26566325383037415,0.3063224994750492
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0051,156,-0.013721973472447857,0.2698396262351593,0.31447816383643346
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0052,116,0.10666721495350528,0.25952048875966627,0.30465099359934145
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0057,122,0.0463633584775131,0.2655460182256505,0.3086123552649997
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0060,122,0.13287021954250247,0.2607573352764859,0.30159048661143195
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0061,59,0.13370014301604957,0.2615767429915429,0.30268166226517507
25,SEQUENCE_RIDGE_COMPOSITION_ONLY,001-0062,96,0.10170439143399296,0.25812650154633365,0.3039251160200778
