external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC11544298:data_1:Supp Data 1:15565:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11021,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15565,J15565,NORMALIZED_INTENSITY,1.7399999999999999e-05,0.41935483870967744,32
R4PMC11544298:data_1:Supp Data 1:15565:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11021,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15565,K15565,NORMALIZED_INTENSITY,1.9899999999999999e-05,0.4838709677419355,32
R4PMC11544298:data_1:Supp Data 1:15568:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q27J81,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15568,I15568,NORMALIZED_INTENSITY,1.72e-06,0.09375,33
R4PMC11544298:data_1:Supp Data 1:15568:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q27J81,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15568,J15568,NORMALIZED_INTENSITY,2.2699999999999999e-06,0.096774193548387094,32
R4PMC11544298:data_1:Supp Data 1:15568:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q27J81,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15568,K15568,NORMALIZED_INTENSITY,2.92e-06,0.12903225806451613,32
R4PMC11544298:data_1:Supp Data 1:15578:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P63000,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15578,I15578,NORMALIZED_INTENSITY,1.3699999999999999e-05,0.34375,33
R4PMC11544298:data_1:Supp Data 1:15578:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P63000,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15578,J15578,NORMALIZED_INTENSITY,1.45e-05,0.35483870967741937,32
R4PMC11544298:data_1:Supp Data 1:15578:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P63000,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15578,K15578,NORMALIZED_INTENSITY,1.3499999999999999e-05,0.35483870967741937,32
R4PMC11544298:data_1:Supp Data 1:15581:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q16643,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15581,I15581,NORMALIZED_INTENSITY,1.04e-05,0.28125,33
R4PMC11544298:data_1:Supp Data 1:15581:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q16643,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15581,J15581,NORMALIZED_INTENSITY,1.4100000000000001e-05,0.29032258064516131,32
R4PMC11544298:data_1:Supp Data 1:15581:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,Q16643,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15581,K15581,NORMALIZED_INTENSITY,6.0800000000000002e-06,0.19354838709677419,32
R4PMC11544298:data_1:Supp Data 1:15584:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P52907,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15584,I15584,NORMALIZED_INTENSITY,1.3499999999999999e-05,0.3125,33
R4PMC11544298:data_1:Supp Data 1:15584:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P52907,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15584,J15584,NORMALIZED_INTENSITY,1.52e-05,0.38709677419354838,32
R4PMC11544298:data_1:Supp Data 1:15584:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P52907,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15584,K15584,NORMALIZED_INTENSITY,1.4e-05,0.40322580645161288,32
R4PMC11544298:data_1:Supp Data 1:15587:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00299,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15587,I15587,NORMALIZED_INTENSITY,3.5599999999999998e-05,0.5625,33
R4PMC11544298:data_1:Supp Data 1:15587:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00299,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15587,J15587,NORMALIZED_INTENSITY,2.9300000000000001e-05,0.54838709677419351,32
R4PMC11544298:data_1:Supp Data 1:15587:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O00299,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15587,K15587,NORMALIZED_INTENSITY,3.0199999999999999e-05,0.54838709677419351,32
R4PMC11544298:data_1:Supp Data 1:15596:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P55072,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15596,I15596,NORMALIZED_INTENSITY,2.1100000000000001e-05,0.5,33
