target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,prefrozen_target_universe_member,multi_accession_group_flag,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T193_4ac3c59ca87ced003aec,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P61981,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO106,,blood_proteomics_xlsx,usGO 0h vs 6h,641,K641,1433G_HUMAN;B3KNB4_HUMAN,,,,NORMALIZED_ABUNDANCE,8.9036522020217369e-05,POSITIVE_FINITE,true,true,true,0.1111111111111111,19,PROHIBITED
T193_4ad7e9564453ddab843a,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,Q04695,PT_D1_16,PT_D1_16,protein_groups,,51,LFQ intensity PT_D1_16_1_S1-A1_6641:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,PT_D1_16_1_S1-A1_6641,,1,,202.93,POSITIVE,true,true,true,0.0625,17,PROHIBITED
T193_4adbfa2806056426f3f3,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P68363,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO13,,blood_proteomics_xlsx,usGO 0h vs 6h,15,Q15,TBA1A_HUMAN;TBA1B_HUMAN;A0A1W2PQM2_HUMAN;B4DDU2_HUMAN;B4DQK4_HUMAN;Q8N532_HUMAN;TBA3C_HUMAN;TBA3E_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0011092076753820767,POSITIVE_FINITE,true,true,true,0.5,19,PROHIBITED
T193_4ae2909e2aac750f5ba3,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P10599,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO96,,blood_proteomics_xlsx,sGO 0h v 6h,558,K558,THIO_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00039234348963576425,POSITIVE_FINITE,true,true,false,0.22222222222222221,19,PROHIBITED
T193_4b5a94991d9e3ff75a1d,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P05556,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO13,,blood_proteomics_xlsx,usGO 0h vs 6h,73,Q73,ITB1_HUMAN;H7C4N8_HUMAN;C9JPK5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00060035129918338591,POSITIVE_FINITE,true,true,true,0.3888888888888889,19,PROHIBITED
T193_4b7f51f3c72e90032640,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P61981,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO4,,blood_proteomics_xlsx,sGO 0h v 6h,257,C257,1433B_HUMAN;1433G_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0004671316875080201,POSITIVE_FINITE,true,true,true,0.16666666666666666,19,PROHIBITED
T193_4bb8594d336c9aac5bfb,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO64,,blood_proteomics_xlsx,sGO 0h v 6h,74,G74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.019166175274716143,POSITIVE_FINITE,true,true,true,0.94117647058823528,18,PROHIBITED
T193_4bd5055cb3e1b22ba652,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P63000,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO62,,blood_proteomics_xlsx,usGO 0h vs 6h,477,U477,RAC1_HUMAN;RAC2_HUMAN;A0A024R9T5_HUMAN;B1AH77_HUMAN,,,,NORMALIZED_ABUNDANCE,0.001198850873764943,POSITIVE_FINITE,true,true,true,0.42105263157894735,20,PROHIBITED
T193_4be086afd22e95a9642e,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,CC0,P04004,PT_D3_28,PT_D3_28,protein_groups,,149,LFQ intensity PT_D3_28_1_S1-A5_6649:149,P04004;CON__Q3ZBS7,PT_D3_28_1_S1-A5_6649,,1,,2207500.0,POSITIVE,true,true,true,0.91666666666666663,13,PROHIBITED
T193_4bf4703c8ef014ee51fa,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P37802,R4_EDINBURGH_USGO_20210324_6pm_KostarelosK_OkweloguE_EO115,,blood_proteomics_xlsx,usGO 0h vs 6h,772,Y772,TAGL2_HUMAN,,,,NORMALIZED_ABUNDANCE,5.9756695118884479e-05,POSITIVE_FINITE,true,true,false,0,20,PROHIBITED
