analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,replicate_1,replicate_2,replicate_3,mean_value,cv_percent,good_center,similar_instrument,replicate_count
PMC11328176:SuppData1:11:Q14644,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2580|5702|8824,Supp Data 1!P2580|Supp Data 1!P5702|Supp Data 1!P8824,11,Q14644,RASA3,2.8303273564261e-05,2.47750590570595e-05,2.90876863353224e-05,2.73886729855476e-05,8.38735434765369,Yes,No,3
PMC11328176:SuppData1:11:Q14697,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2674|5796|8918,Supp Data 1!P2674|Supp Data 1!P5796|Supp Data 1!P8918,11,Q14697,GANAB,2.39922480225244e-05,2.77141485514151e-05,2.55477624387226e-05,2.5751386337554e-05,7.2589751584506,Yes,No,3
PMC11328176:SuppData1:11:Q14766,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2425|5547|8669,Supp Data 1!P2425|Supp Data 1!P5547|Supp Data 1!P8669,11,Q14766,LTBP1,0.000180898682072682,0.00018916062020508,0.000186799592764153,0.000185619631680638,2.29258245843881,Yes,No,3
PMC11328176:SuppData1:11:Q15084,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2724|5846|8968,Supp Data 1!P2724|Supp Data 1!P5846|Supp Data 1!P8968,11,Q15084,PDIA6,7.86387405001784e-06,9.77188027182329e-06,6.04465082313689e-06,7.89346838165934e-06,23.6118124620554,Yes,No,3
PMC11328176:SuppData1:11:Q15363,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2778|5900|9022,Supp Data 1!P2778|Supp Data 1!P5900|Supp Data 1!P9022,11,Q15363,TMED2,1.23183857370197e-05,9.95056768007382e-06,1.02381062133302e-05,1.08356865434746e-05,11.924289795365,Yes,No,3
PMC11328176:SuppData1:11:Q15365,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2776|5898|9020,Supp Data 1!P2776|Supp Data 1!P5898|Supp Data 1!P9020,11,Q15365,PCBP1,2.97459096963098e-05,2.44932444144302e-05,2.24119158991388e-05,2.55503566699596e-05,14.7925438865793,Yes,No,3
PMC11328176:SuppData1:11:Q15485,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2648|5770|8892,Supp Data 1!P2648|Supp Data 1!P5770|Supp Data 1!P8892,11,Q15485,FCN2,2.70689266446242e-05,1.95390844699023e-05,1.50067311509492e-05,2.05382474218253e-05,29.6658965862885,Yes,No,3
PMC11328176:SuppData1:11:Q15833,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2783|5905|9027,Supp Data 1!P2783|Supp Data 1!P5905|Supp Data 1!P9027,11,Q15833,STXBP2,5.80307689884818e-06,4.11069848693267e-06,4.47252360464282e-06,4.79543299680789e-06,18.5843675024581,Yes,No,3
PMC11328176:SuppData1:11:Q15836,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2816|5938|9060,Supp Data 1!P2816|Supp Data 1!P5938|Supp Data 1!P9060,11,Q15836,VAMP3,1.07177006347129e-05,1.14379159717674e-05,9.81245761665597e-06,1.06560247410454e-05,7.64339859026586,Yes,No,3
PMC11328176:SuppData1:11:Q16610,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2842|5964|9086,Supp Data 1!P2842|Supp Data 1!P5964|Supp Data 1!P9086,11,Q16610,ECM1,8.06447899820696e-06,8.08399861950715e-06,6.99109338218214e-06,7.71319033329875e-06,8.10858324439735,Yes,No,3
