source_id,canonical_accession,source_identifier,source_analysis_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BP294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BQ294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BR294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BS294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,294,Sheet1!BT294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BU294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BV294
PXD017052_SEER_BROAD,O75531,O75531,PXD017052:Sheet1:294:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,294,Sheet1!BW294
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BO306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BP306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BQ306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BR306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BS306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,306,Sheet1!BT306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BU306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BV306
PXD017052_SEER_BROAD,P00387,P00387-2;P00387;P00387-3,PXD017052:Sheet1:306:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,306,Sheet1!BW306
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BO307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BP307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BQ307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BR307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BS307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,307,Sheet1!BT307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BU307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BV307
PXD017052_SEER_BROAD,P00403,P00403,PXD017052:Sheet1:307:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,307,Sheet1!BW307
