source_id,source_identifier,candidate_tokens,resolved_canonical_accession,resolution_status
PXD017052_SEER_BROAD,A0A0A0MSK3;A0A0C4DH47;P24557-4;P24557-2;P24557;P24557-3;A0A498U6I9,accession:P24557,P24557,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A0MTH3;Q13418;Q13418-3;Q13418-2,accession:Q13418,Q13418,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0A6YYL2;P0DMM9;P0DMM9-2;P50225-2;P50226;P50225,accession:P0DMM9;accession:P50225;accession:P50226,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0B4J1V0;A0A0B4J1V6,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0B4J1V2,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0B4J1X5;A0A0C4DH42;P0DP02;P01767;P01772;A0A0J9YVY3;A0A075B7E8;A0A075B7B8;P01768;P01764,accession:P01764;accession:P01767;accession:P01768;accession:P01772;accession:P0DP02,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0B4J231;B9A064;P0CG04,accession:B9A064;accession:P0CG04,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0B4J2A3;Q96A00-2;Q96A00,accession:Q96A00,Q96A00,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0B4J2C3;Q5W0H4;P13693,accession:P13693;accession:Q5W0H4,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0B4J2D9,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0C4DFP6;Q9NQ79-3;Q9NQ79-2;Q9NQ79,accession:Q9NQ79,Q9NQ79,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0C4DGQ5;P04632;K7EKD8;K7ELJ7;Q96L46,accession:K7EKD8;accession:K7ELJ7;accession:P04632;accession:Q96L46,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0C4DGZ8;P07359,accession:P07359,P07359,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0C4DH33,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0C4DH38;A0A0J9YXX1,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0C4DH43,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0C4DH68;A0A075B6R9,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0C4DH72;A0A0C4DH73;P01611;P01599,accession:P01599;accession:P01611,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0D9SET1;A0A0G2JQ42;A0A0G2JRP6;G3V1M9;A0A0G2JMN8;A0A0G2JM13;A0A0G2JR74;P04280;P02812,accession:G3V1M9;accession:P02812;accession:P04280,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0D9SFB5;P08319;P08319-2,accession:P08319,P08319,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A0G2JIW1;P0DMV8-2;P0DMV8;V9GZ37,accession:P0DMV8;accession:V9GZ37,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A0G2JPR0;A0A140TA49;CON__ENSEMBL:ENSBTAP00000007350,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0G2JRQ6,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A0J9YY99,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A140TA14;A0A140TA11,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A140TA52;A0A140TA41;A0A140TA33;A0A3B3ISX9;P22105-1;P22105;P22105-4;A0A087X0I0;A0A140T9C0;A0A140T902;A0A140T8Y3;P22105-2;Q16473;A0A087WWA5,accession:P22105;accession:Q16473,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A1B0GTC6,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A1B0GVS3;R4GMT0;P61163;P42025,accession:P42025;accession:P61163;accession:R4GMT0,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A1C7CYX9;Q16555-2;Q16555,accession:Q16555,Q16555,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A1W2PR11;A0A140T9B3;A0A140T9J9;A0A140T962;A0A140T9W2;A0A1W2PRX1;A0A0G2JIF0;A0A140T9U0;A0A140T9M0;A0A0G2JH50;A2BF26;A0A1W2PNZ7;A0A1W2PP77;A0A1W2PS56;A0A140TA05;A0A0G2JPA3;A0A140T9B7;F8W9Z8;Q31611;D0EV57;A0A140TA12;A0A0G2JNX1;A0A140TA19;A0A0G2JKJ1;A0A140T9Z7;A0A140TA03;A0A0G2JH66;P17693-2;P13747;P17693-6,accession:A2BF26;accession:D0EV57;accession:F8W9Z8;accession:P13747;accession:P17693;accession:Q31611,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A1W2PR68;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQH3;A0A1W2PQY8;P23368;A0A1W2PQ37;A0A1W2PQF8;P23368-2;A0A1W2PRH1;A0A1W2PRY9;A0A1W2PQH4,accession:P23368,P23368,UNIQUE_HUMAN_CANONICAL_ACCESSION
