external_target_observation_id,source_id,laboratory_anchor,canonical_accession,biological_unit_id,measurement_batch_id,technical_replicate_count,source_coordinates,author_positive_values,rank_percentile_mean_across_positive_technical_replicates,measurement_batch_positive_unique_target_count,coverage_stratum
R4PXD064962:PT_D1_33:P26038,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:274;LFQ intensity PT_D1_33_2_S1-B2_6644:274,80093.0;79926.0,0.2606749547816929,10,GE10
R4PXD064962:PT_D1_33:P30041,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P30041,PT_D1_33,PT_D1_33,1,LFQ intensity PT_D1_33_1_S1-A2_6643:283,27971.0,0.06635071090047394,10,GE10
R4PXD064962:PT_D1_33:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:51;LFQ intensity PT_D1_33_2_S1-B2_6644:51,619.37;184.47,0.0,10,GE10
R4PXD064962:PT_D1_33:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_33,PT_D1_33,2,LFQ intensity PT_D1_33_1_S1-A2_6643:385;LFQ intensity PT_D1_33_2_S1-B2_6644:385,38841.0;42701.0,0.10777983835886164,10,GE10
R4PXD064962:PT_D1_34:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:149;LFQ intensity PT_D1_34_2_S1-D2_6660:149,2117800.0;2157400.0,0.819672131147541,7,GE5_LT10
R4PXD064962:PT_D1_34:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:160;LFQ intensity PT_D1_34_2_S1-D2_6660:160,247330.0;288640.0,0.48360655737704916,7,GE5_LT10
R4PXD064962:PT_D1_34:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:178;LFQ intensity PT_D1_34_2_S1-D2_6660:178,2682600.0;2594000.0,0.8387978142076503,7,GE5_LT10
R4PXD064962:PT_D1_34:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:202;LFQ intensity PT_D1_34_2_S1-D2_6660:202,6358.1;9598.1,0.02459016393442623,7,GE5_LT10
R4PXD064962:PT_D1_34:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_34,PT_D1_34,1,LFQ intensity PT_D1_34_1_S1-C2_6659:322,3361.2,0.01639344262295082,7,GE5_LT10
R4PXD064962:PT_D1_34:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:51;LFQ intensity PT_D1_34_2_S1-D2_6660:51,327.44;369.94,0.0,7,GE5_LT10
R4PXD064962:PT_D1_34:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_34,PT_D1_34,2,LFQ intensity PT_D1_34_1_S1-C2_6659:385;LFQ intensity PT_D1_34_2_S1-D2_6660:385,14298.0;43049.0,0.10109289617486339,7,GE5_LT10
R4PXD064962:PT_D1_48:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:149;LFQ intensity PT_D1_48_2_S1-F2_6676:149,1740100.0;1794300.0,0.8279234893493697,9,GE5_LT10
R4PXD064962:PT_D1_48:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:160;LFQ intensity PT_D1_48_2_S1-F2_6676:160,450510.0;412380.0,0.6017243877698883,9,GE5_LT10
R4PXD064962:PT_D1_48:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:178;LFQ intensity PT_D1_48_2_S1-F2_6676:178,2237000.0;2321100.0,0.8574119692798146,9,GE5_LT10
R4PXD064962:PT_D1_48:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:202;LFQ intensity PT_D1_48_2_S1-F2_6676:202,18627.0;16778.0,0.03185528667342897,9,GE5_LT10
R4PXD064962:PT_D1_48:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:322;LFQ intensity PT_D1_48_2_S1-F2_6676:322,6062.0;5136.3,0.012256677776167705,9,GE5_LT10
R4PXD064962:PT_D1_48:P30041,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P30041,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:283;LFQ intensity PT_D1_48_2_S1-F2_6676:283,60763.0;166930.0,0.320364198425349,9,GE5_LT10
