stratum_id,model_id,biological_unit_id,measurement_batch_id,protein_count,spearman,mae,rmse
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_81,PT_D1_81,8,0.2857142857142857,0.3671793299404846,0.3901269912074637
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_06,PT_D3_06,8,0.023809523809523808,0.3918275413798826,0.4318782930794637
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_14,PT_D3_14,8,-0.2619047619047619,0.3663731030439483,0.4103417749847562
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_22,PT_D3_22,9,0.2761530448893886,0.43573152873559606,0.4617734337427651
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_28,PT_D3_28,9,0.36666666666666664,0.3424067864333841,0.36625400430327715
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_30,PT_D3_30,9,-0.016666666666666666,0.3794139353729522,0.41187647677157335
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_37,PT_D3_37,8,0.35714285714285715,0.35316203791376244,0.3724709288377861
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_41,PT_D3_41,10,-0.006060606060606061,0.35342837453836584,0.3928995796891057
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_42,PT_D3_42,8,0.3333333333333333,0.37192664526109076,0.398066045939907
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_85,PT_D3_85,7,0.17857142857142858,0.3719879107991755,0.38735209119366454
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_96,PT_D3_96,8,0.35714285714285715,0.3516212216335145,0.37740564702711493
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D1_133,T_D1_133,9,0.2833333333333333,0.4272205704044638,0.45090975469211686
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D1_138,T_D1_138,9,0.21666666666666667,0.39230671556189367,0.42024997808995573
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D1_165,T_D1_165,9,0.38333333333333336,0.36219606290473383,0.3841742067481515
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D1_173,T_D1_173,9,0.36666666666666664,0.3896816738968912,0.4068195010617903
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D1_186,T_D1_186,8,0.30952380952380953,0.37063442537789915,0.401027703649159
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_119a,T_D3_119a,8,0.2619047619047619,0.3531005179829204,0.4010532849740448
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_119b,T_D3_119b,9,0.3,0.3614829120365885,0.39018441687670824
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_155,T_D3_155,6,-0.6,0.43633153445229284,0.47213270295511406
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_178,T_D3_178,8,0.35714285714285715,0.3716112304588395,0.39325321764157123
GE5_ALL,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_198,T_D3_198,13,0.3956043956043956,0.32226348462648813,0.36763152129915605
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_16,PT_D1_16,10,0.2,0.3957100038626514,0.42761404582786505
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_23,PT_D1_23,10,-0.030303030303030304,0.415924888486982,0.4534947596397584
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D1_33,PT_D1_33,10,0.07878787878787878,0.3856479842371,0.4346966922187472
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,PT_D3_41,PT_D3_41,10,-0.006060606060606061,0.35342837453836584,0.3928995796891057
GE10_ONLY,SEQUENCE_RIDGE_COMPOSITION_ONLY,T_D3_198,T_D3_198,13,0.3956043956043956,0.32226348462648813,0.36763152129915605
