resample,selected_alpha,null_subject_equal_mean_spearman
204,0.01,-0.34915324340116694
205,100.0,-0.13247206971299683
206,0.01,0.41916554256082095
207,0.01,0.055056812632239154
208,100.0,-0.32504760043238423
209,0.01,0.3828692192072168
210,0.01,-0.7902927365476564
211,10.0,0.19901540878147803
212,100.0,0.28432874105152245
213,0.01,-0.23007789051295857
214,0.01,-0.4086817197857867
215,10.0,0.12371958943887258
216,10.0,-0.01716116002080159
217,100.0,-0.43465007827928737
218,100.0,0.5035854778334014
219,100.0,-0.25898677560898825
220,100.0,0.13845309597823816
221,10.0,-0.6373624672793897
222,100.0,0.04444800939772505
223,0.1,-0.24409066604737809
224,1.0,-0.28391283091982733
225,100.0,0.1358878834130256
226,100.0,-0.2644658464225585
227,10.0,0.1499439085228332
228,100.0,-0.15698956356149188
229,0.01,0.35287653145545617
230,10.0,0.3736434368878622
231,10.0,0.0384788528601384
232,0.01,-0.4904082049906278
233,0.01,-0.2646680772937881
234,0.1,-0.1812639509797359
235,0.01,0.45780991520169534
236,10.0,-0.10709344995309152
237,10.0,0.16130124539831592
238,1.0,0.19813284851763222
239,0.01,0.22927206208141934
240,0.01,-0.5100518946343175
241,1.0,0.21956685652356855
242,10.0,0.33037437019072374
243,100.0,-0.04583361488040102
244,0.01,-0.039981450031734374
245,1.0,0.012968714155858726
246,100.0,-0.13823373709687686
247,100.0,-0.5919275534666883
248,1.0,0.16268383688147606
249,10.0,0.21759660860010677
250,0.01,-0.5138921743775268
251,0.1,-0.1566142697581264
252,0.1,0.15927505180019397
253,100.0,0.3683541519833611
254,100.0,0.25351056894563706
255,0.1,-0.45031052489294776
256,100.0,-0.521653512807864
